period,trimethoprim_items,nitrofurantoin_items,all_items,trimethoprim_percent
2011-01-01 00:00:00.000000 UTC,293700,107226,400926,0.7325541371724458
2011-02-01 00:00:00.000000 UTC,276916,105896,382812,0.7233733529774407
2011-03-01 00:00:00.000000 UTC,308943,122306,431249,0.7163912264144381
2011-04-01 00:00:00.000000 UTC,254180,106429,360609,0.7048631620397716
2011-05-01 00:00:00.000000 UTC,282112,121721,403833,0.698585801556584
2011-06-01 00:00:00.000000 UTC,293202,132990,426192,0.6879575402635432
2011-07-01 00:00:00.000000 UTC,290108,133650,423758,0.6846077242199557
2011-08-01 00:00:00.000000 UTC,303997,141239,445236,0.6827772237644755
2011-09-01 00:00:00.000000 UTC,318399,148030,466429,0.6826312257599764
2011-10-01 00:00:00.000000 UTC,303328,144562,447890,0.6772377146174284
2011-11-01 00:00:00.000000 UTC,314422,150912,465334,0.675691009038669
2011-12-01 00:00:00.000000 UTC,299572,147917,447489,0.6694510926525569
2012-01-01 00:00:00.000000 UTC,308079,148528,456607,0.6747137034692854
2012-02-01 00:00:00.000000 UTC,289847,142647,432494,0.670175771224572
2012-03-01 00:00:00.000000 UTC,310837,152837,463674,0.6703783261515633
2012-04-01 00:00:00.000000 UTC,277665,139065,416730,0.6662947232020733
2012-05-01 00:00:00.000000 UTC,309567,154553,464120,0.6669977592002069
2012-06-01 00:00:00.000000 UTC,301728,149200,450928,0.6691267785544477
2012-07-01 00:00:00.000000 UTC,320931,159536,480467,0.6679563841013014
2012-08-01 00:00:00.000000 UTC,334199,169392,503591,0.6636317964379824
2012-09-01 00:00:00.000000 UTC,312366,159800,472166,0.6615597056967253
2012-10-01 00:00:00.000000 UTC,338981,173549,512530,0.6613876260901801
2012-11-01 00:00:00.000000 UTC,321526,166596,488122,0.658700079078591
2012-12-01 00:00:00.000000 UTC,297986,156685,454671,0.6553881817841912
2013-01-01 00:00:00.000000 UTC,326005,168963,494968,0.6586385382489373
2013-02-01 00:00:00.000000 UTC,288478,151742,440220,0.6553041660987688
2013-03-01 00:00:00.000000 UTC,296660,157220,453880,0.6536088834053053
2013-04-01 00:00:00.000000 UTC,299862,160047,459909,0.6520028962251228
2013-05-01 00:00:00.000000 UTC,308274,165599,473873,0.6505413897816503
2013-06-01 00:00:00.000000 UTC,292655,157152,449807,0.6506234896299968
2013-07-01 00:00:00.000000 UTC,319822,171972,491794,0.65031700264745
2013-08-01 00:00:00.000000 UTC,327267,176839,504106,0.6492027470412969
2013-09-01 00:00:00.000000 UTC,324864,173557,498421,0.6517863412657171
2013-10-01 00:00:00.000000 UTC,348246,184260,532506,0.6539757298509312
2013-11-01 00:00:00.000000 UTC,326482,175198,501680,0.6507773879763993
2013-12-01 00:00:00.000000 UTC,322624,174813,497437,0.6485725830607695
2014-01-01 00:00:00.000000 UTC,343658,181922,525580,0.6538643022946079
2014-02-01 00:00:00.000000 UTC,298614,161661,460275,0.6487730161316604
2014-03-01 00:00:00.000000 UTC,317880,171820,489700,0.6491321217071676
2014-04-01 00:00:00.000000 UTC,306490,162608,469098,0.6533602786624543
2014-05-01 00:00:00.000000 UTC,320607,169333,489940,0.6543801281789607
2014-06-01 00:00:00.000000 UTC,314396,168534,482930,0.6510177458430828
2014-07-01 00:00:00.000000 UTC,333101,180017,513118,0.6491703662705265
2014-08-01 00:00:00.000000 UTC,314328,174421,488749,0.6431276585732145
2014-09-01 00:00:00.000000 UTC,338962,183631,522593,0.6486156530990657
2014-10-01 00:00:00.000000 UTC,349174,190089,539263,0.6475022391671597
2014-11-01 00:00:00.000000 UTC,316211,172937,489148,0.6464526073908101
2014-12-01 00:00:00.000000 UTC,327218,188141,515359,0.6349321540906436
2015-01-01 00:00:00.000000 UTC,318463,186716,505179,0.630396354559473
2015-02-01 00:00:00.000000 UTC,289122,173442,462564,0.6250421563286378
2015-03-01 00:00:00.000000 UTC,317168,187627,504795,0.628310502283105
2015-04-01 00:00:00.000000 UTC,294033,175627,469660,0.6260550185240387
2015-05-01 00:00:00.000000 UTC,288642,175207,463849,0.6222757837140966
2015-06-01 00:00:00.000000 UTC,304804,188652,493456,0.6176923575759541
2015-07-01 00:00:00.000000 UTC,319145,202581,521726,0.6117099780344472
2015-08-01 00:00:00.000000 UTC,291662,191509,483171,0.6036413609260489
2015-09-01 00:00:00.000000 UTC,317936,206685,524621,0.6060298768063039
2015-10-01 00:00:00.000000 UTC,315048,211212,526260,0.5986546573936837
2015-11-01 00:00:00.000000 UTC,303226,207852,511078,0.5933066968251421
2015-12-01 00:00:00.000000 UTC,315321,218029,533350,0.5912083997375082
2016-01-01 00:00:00.000000 UTC,296206,199167,495373,0.5979453866076674
2016-02-01 00:00:00.000000 UTC,288062,198433,486495,0.5921170823955025
2016-03-01 00:00:00.000000 UTC,294178,206221,500399,0.587886866280708
2016-04-01 00:00:00.000000 UTC,290297,209708,500005,0.5805881941180588
2016-05-01 00:00:00.000000 UTC,271856,201131,472987,0.574764211278534
2016-06-01 00:00:00.000000 UTC,288020,216548,504568,0.5708249433178482
2016-07-01 00:00:00.000000 UTC,283738,217699,501437,0.5658497478247516
2016-08-01 00:00:00.000000 UTC,291402,229419,520821,0.5595050890805094
2016-09-01 00:00:00.000000 UTC,302772,239454,542226,0.5583870932046785
2016-10-01 00:00:00.000000 UTC,287574,230197,517771,0.5554076995428481
2016-11-01 00:00:00.000000 UTC,287241,234218,521459,0.5508410057166527
2016-12-01 00:00:00.000000 UTC,279678,234988,514666,0.5434165070162008
2017-01-01 00:00:00.000000 UTC,279005,235260,514265,0.5425315741884048
2017-02-01 00:00:00.000000 UTC,250685,220865,471550,0.5316191284063195
2017-03-01 00:00:00.000000 UTC,277568,256526,534094,0.5196987796155733
2017-04-01 00:00:00.000000 UTC,223347,222452,445799,0.5010038156209413
2017-05-01 00:00:00.000000 UTC,236341,256755,493096,0.479300176841832
2017-06-01 00:00:00.000000 UTC,228298,276105,504403,0.45261031357862663
2017-07-01 00:00:00.000000 UTC,218137,290423,508560,0.42893070630800695
2017-08-01 00:00:00.000000 UTC,214981,307349,522330,0.4115808014090709
2017-09-01 00:00:00.000000 UTC,207988,307651,515639,0.4033597148392577
2017-10-01 00:00:00.000000 UTC,203764,322856,526620,0.3869279556416391
2017-11-01 00:00:00.000000 UTC,191931,313670,505601,0.3796096131138981
